STT,HÁN TỰ,PINYIN,TỪ LOẠI,HÁN VIỆT,NGHĨA TIẾNG VIỆT,NGHĨA TIẾNG ANH,ÔN TẬP,CHECK,CÂU VÍ DỤ,NGHĨA CÂU
741,表达,biǎodá,Động từ,BIỂU ĐẠT,"biểu đạt, bày tỏ, diễn đạt (thể hiện suy nghĩ, tình cảm hoặc ý kiến, quan điểm)",Express,表达,TRUE,老师应该给勇敢地表达自己看法的学生表扬。,Giáo viên nên khen ngợi những học sinh dũng cảm bày tỏ ý kiến ​​của mình.
742,表示,biǎoshì,Động từ,BIỂU THỊ,"biểu thị, bày tỏ (chỉ ra một sự vật, sự việc hoặc biểu thị thái độ, hành động)",express,表示,TRUE,我们想向你表示感谢。,Chúng tôi xin bày tỏ lòng biết ơn đến quý vị.
743,更加,gèngjiā,Phó từ,CANH GIA,"càng, hơn, thêm (更加 + ADJ/V song âm tiết)",more,更加,TRUE,父母的表扬可以让孩子更加努力学习。,Lời khen ngợi của cha mẹ có thể thúc đẩy con cái học tập chăm chỉ hơn.
744,允许,yǔnxǔ,"Động từ, Danh từ",DOÃN HỨA,"cho phép, được phép; sự cho phép",allow,允许,TRUE,对不起，这里不允许抽烟。,"Rất tiếc, hút thuốc không được phép ở đây."
745,同情,tóngqíng,Động từ,ĐỒNG TÌNH,"đồng cảm, thông cảm, cảm thông",pity,同情,TRUE,听他讲的故事以后，我们同情他。,"Sau khi nghe câu chuyện của anh ấy, chúng tôi cảm thấy thương anh ấy."
746,同情心,tóngqíngxīn,Danh từ,ĐỒNG TÌNH TÂM,"lòng thương cảm, lòng trắc ẩn",compassion,同情心,TRUE,我对没有父母的孩子有同情心。,Tôi cảm thông với những đứa trẻ mồ côi.
747,脱,tuō,Động từ,THOÁT,"cởi ra (quần áo, giày dép, mũ....)",strip,脱,TRUE,他进来房间，脱了大衣，然后坐在沙发休息。,"Anh ta bước vào phòng, cởi áo khoác rồi ngồi xuống ghế sofa nghỉ ngơi."
748,大衣,dàyī,Danh từ,ĐẠI Y,áo khoác,overcoat,大衣,TRUE,他进来房间，脱了大衣，然后坐在沙发休息。,"Anh ta bước vào phòng, cởi áo khoác rồi ngồi xuống ghế sofa nghỉ ngơi."
749,骗,piàn,Động từ,BIỂN,"lừa gạt, lừa đảo, lừa",cheat,骗,TRUE,你骗不了我了，我很早就发现了。,"Bạn không thể lừa được tôi đâu, tôi đã sớm phát hiện ra rồi."
750,答案,dáàn,Danh từ,ĐÁP ÁN,"đáp án, câu trả lời",Answer,答案,TRUE,他骗了我，他告诉我答案是B。实际上，C才是正确的答案。,"Anh ta đã nói dối tôi; anh ta bảo đáp án là B. Thực ra, đáp án đúng là C."
751,窗口,chuāngkǒu,Danh từ,SONG KHẨU,cửa sổ,window,窗口,TRUE,这台电脑如果同时打开好几个窗口，就会变得非常慢。,Máy tính này trở nên rất chậm nếu mở nhiều cửa sổ cùng lúc.
752,餐厅,cāntīng,Danh từ,XAN SẢNH,"nhà hàng, nhà ăn, sảnh ăn",Dining room,餐厅,TRUE,别的餐厅都关门了，我们只好去吃肯德基。,Các nhà hàng khác đều đã đóng cửa nên chúng tôi đành phải đi ăn KFC.
753,肯德基,kěndéjī,Danh từ,KHẲNG ĐỨC CƠ,"KFC, gà rán KFC",KFC,肯德基,TRUE,肯德基是个很有名的小吃。,KFC là một món ăn vặt rất nổi tiếng.
754,运动会,yùndònghuì,Danh từ,VẬN ĐỘNG HỘI,hội thao,Sports Meet,运动会,TRUE,今天下午突然下雨，我们只好推迟运动会。,Chiều nay trời đột nhiên mưa nên chúng tôi đành phải hoãn lại hội thao.
755,同时,tóngshí,"Liên từ, Danh từ",ĐỒNG THỜI,"(liên từ): hơn nữa, đồng thời, bên cạnh đó; (danh từ): đồng thời, cùng lúc, trong khi đó",at the same time,同时,TRUE,我和他同时出发，但我比他早到了半个小时。,"Chúng tôi khởi hành cùng lúc, nhưng tôi đến sớm hơn anh ấy nửa tiếng."
756,敢,gǎn,Động từ,CẢM,"dám, dám làm gì đó + V",dare,敢,TRUE,你敢一个人去北京旅游吗？,Bạn có dám đi du lịch Bắc Kinh một mình không?
757,只好,zhǐhǎo,Phó từ,CHỈ HẢO,"đành, đành phải + V",I had no choice,只好,TRUE,我忘了先在网上买电影票，只好排队等买了。,Tôi quên mua vé xem phim trực tuyến trước nên phải xếp hàng chờ mua vé.
758,再……也……,zài   yě  ,Cấu trúc câu,TÁI...DÃ...,Dù/Cho dù...thì/cũng (nhấn mạnh dù mức độ có cao thế nào thì tình huống cũng không thay đổi; diễn tả sự kiên định khi đưa ra ý kiến hoặc quyết định),Never again...,再……也……,TRUE,事情已经发生了，你在后悔也改变不了了。别伤心。,"Chuyện đã rồi thì không thể thay đổi được nữa, dù bạn có hối hận đến mấy. Đừng buồn."
759,成长,chéngzhǎng,Động từ,THÀNH TRƯỞNG,"trưởng thành, phát triển, lớn ",growing up,成长,TRUE,环境可以改变一个人的爱好和习惯，创造一个好的环境对一个人的成长非常重要。,"Môi trường có thể thay đổi sở thích và thói quen của một người, và việc tạo ra một môi trường tốt rất quan trọng cho sự phát triển của cá nhân."
760,创造,chuàngzào,Động từ,SÁNG TẠO,"tạo ra, tạo nên, lập ra",create,创造,TRUE,创造正确的教育方法能让孩子健康快乐地成长。,Việc xây dựng phương pháp giáo dục đúng đắn có thể giúp trẻ em lớn lên khỏe mạnh và hạnh phúc.
761,理由,lǐyóu,Danh từ,LÝ DO,lý do,reason,理由,TRUE,他敢同时骗了我和他的朋友，这让我很失望。解决完这件事以后，我觉得没有什么理由让我继续跟他在一起了。,"Anh ấy dám cùng lúc lừa cả tôi và bạn của anh ta, điều này khiến tôi rất thất vọng. Giải quyết xong chuyện này, tôi cảm thấy chẳng còn lí do nào khiến tôi tiếp tục ở bên cạnh anh ta nữa rồi."
762,流血,liúxuè / liúxiě,Động từ,LƯU HUYẾT,"đổ máu, chảy máu",bleed,流血,TRUE,我的鼻子流血了。,Mũi tôi đang chảy máu.
763,咳嗽,késou,Động từ,KHÁI THẤU,"ho, ho hen",cough,咳嗽,TRUE,我咳嗽好几天了，还没好。,Tôi bị ho mấy ngày nay rồi mà vẫn chưa đỡ.
764,次数,cìshù,Danh từ,THỨ SỐ,số lần,frequency,次数,TRUE,你一个星期内有多少次数锻炼身体?,Bạn tập thể dục bao nhiêu lần một tuần?
765,以上,yǐshàng,Danh từ,DĨ THƯỢNG,"trên, trở lên, hơn (đứng sau danh từ hoặc số, chỉ mức độ hoặc số lượng lớn hơn số đó); trên đây, ở trên",above,以上,TRUE,每天我都花一个小时以上散散步。,Tôi dành hơn một giờ mỗi ngày để đi dạo.
766,以下,yǐxià,Danh từ,DĨ HẠ,"dưới, trở xuống (đứng sau danh từ hoặc sỗ, chỉ mức độ hoặc số lượng ít hơn số đó); dưới đây, sau đây",the following,以下,TRUE,这座山的高度是一千米以下。,Ngọn núi này cao chưa đến 1.000 mét.
767,擦,cā,Động từ,SÁT,"lau, chùi; cọ xát, chà, cạ",wipe,擦,TRUE,经理让服务员把所有的桌子都擦干净。,Người quản lý yêu cầu các bồi bàn lau sạch tất cả các bàn.
768,估计,gūjì,Động từ,CỔ KẾ,"đoán chừng, dự đoán, ước chừng",estimate,估计,TRUE,机场通知飞机晚点一个小时，估计他下午六点才能到上海。,"Sân bay thông báo máy bay sẽ bị trễ một tiếng, dự đoán anh ấy sáu giờ chiều mới có thể đến Thượng Hải."
769,动作,dòngzuò,"Danh từ, Động từ",ĐỘNG TÁC,"động tác; hành động, hoạt động",action,动作,TRUE,他对自己的要求很高，希望比赛的时候把每个动作都做好。,Anh ấy đặt kỳ vọng rất cao vào bản thân và hy vọng sẽ thực hiện hoàn hảo mọi động tác trong suốt cuộc thi.
770,帅,shuài,Tính từ,SOÁI,"đẹp trai; tốt, đẹp, đẹp mắt (sự việc, sự vật)",handsome,帅,TRUE,在公共的地方抽烟不是一个很帅的行动，不仅对身体没有什么好处，也影响周围的人。,Hút thuốc ở nơi công cộng là điều không nên làm; nó không chỉ có hại cho sức khỏe của bạn mà còn ảnh hưởng đến những người xung quanh.
771,出现,chūxiàn,Động từ,XUẤT HIỆN,xuất hiện,Appear,出现,TRUE,你放弃抽烟吧，等身体出现问题了，后悔也来不及了。,"Bạn bỏ hút thuốc đi, đợi đến khi sức khỏe xuất hiện vấn đề rồi hối hận cũng không kịp nữa đâu."
772,反对,fǎnduì,Động từ,PHẢN ĐỐI,"phản đối, không tán thành",be opposed to,反对,TRUE,我本来还以为他会反对我这么做，没想到他竟然支持我。,"Tôi nghĩ anh ấy sẽ phản đối việc tôi làm, nhưng thật bất ngờ, anh ấy lại ủng hộ tôi."
773,大夫,dàifu,Danh từ,ĐẠI PHU,bác sĩ,doctor,大夫,TRUE,大夫告诉我身体还好，要注意多喝水多休息。,Bác sĩ nói với tôi rằng sức khỏe của tôi tốt và nên uống nhiều nước cũng như nghỉ ngơi đầy đủ.
774,指,zhǐ,"Động từ, Danh từ, Lượng từ",CHỈ,"(n): ngón tay; (v): chỉ, chỉ về, hướng về, nói đến; (lượng): ngón tay",refer to,指,TRUE,第一印象是指在第一次见面时给别人留下的印象。,Ấn tượng đầu tiên là ấn tượng mà bạn tạo ra đối với người khác khi gặp họ lần đầu.
775,数字,shùzì,Danh từ,SỐ TỬ,con số,number,数字,TRUE,中国人认为四的这个数字很坏，因为四的发音跟死的意思差不多。,"Người Trung Quốc coi số bốn là số không may mắn vì cách phát âm của số bốn gần giống với từ ""chết""."
776,既,jì,Phó từ,KÝ,"đã...lại, vừa...vừa",now that,既,TRUE,散步是生活中最简单的锻炼方法，既可以活动身体，又可以减肥。,Đi bộ là hình thức tập thể dục đơn giản nhất trong cuộc sống hàng ngày; nó vừa giúp bạn giữ gìn sức khỏe vừa hỗ trợ giảm cân.
777,辛苦,xīnkǔ,"Tính từ, Động từ",TÂN KHỔ,"vất vả, cực nhọc",Hard,辛苦,TRUE,我妈妈工作很辛苦。,Mẹ tôi làm việc rất vất vả.
778,难道,nándào,Phó từ,NAN ĐẠO,"lẽ nào, chẳng lẽ, chẳng nhẽ (thể hiện sự suy đoán hoặc nghi ngờ, hoài nghi về 1 sự việc)",Could it be...?,难道,TRUE,咱们都走了两个小时了而没到，难道走错了吧？,"Bọn mình đã đi bộ được hai tiếng rồi mà vẫn chưa tới, chẳng lẽ đã đi sai đường rồi sao?"
779,饼干,bǐnggān,Danh từ,BÍNH CAN,"bánh quy (lượng từ: 块-cái, chiếc; 盒-hộp)",biscuit,饼干,TRUE,他做的饼干特别香，我吃了好几块了。,Bánh quy của anh ấy đặc biệt thơm; tôi đã ăn vài cái rồi.
780,香,xiāng,Tính từ,HƯƠNG,"thơm, thơm tho, thơm ngon",fragrant,香,TRUE,他做的饼干特别香，我吃了好几块了。,Bánh quy của anh ấy đặc biệt thơm; tôi đã ăn vài cái rồi.
781,眼镜,yǎnjìng,Danh từ,NHÃN KÍNH,"kính mắt, mắt kính (lượng từ: 副 /fù/ )",Glasses,眼镜,TRUE,我刚买了一副新眼镜。,Tôi vừa mua một cặp kính mới.
782,眼睛,yǎnjing,Danh từ,NHÃN TÌNH,"mắt, con mắt",Eye,眼睛,TRUE,她的眼睛漂漂亮亮的，很可爱。,Đôi mắt của cô ấy rất đẹp và quyến rũ.
783,戴,dài,Động từ,ĐÁI,"đội, đeo, mang, cài (mũ, tất, kính, khăn, phụ kiện...)",Wear,戴,TRUE,冬天很冷，他戴着一顶厚厚的帽子。,"Trời rất lạnh vào mùa đông, và anh ấy đội một chiếc mũ dày."
784,今生,jīnshēng,Danh từ,KIM SINH,"kiếp này, đời này",this life,今生,TRUE,我愿意陪你今生今世。,Anh nguyện đời này kiếp này ở bên em.
785,来生,lái shēng,Danh từ,LAI SINH,"kiếp sau, đời sau",Next Life,来生,TRUE,如果有来生，我也想跟你在一起。,"Nếu có kiếp sau, em vẫn muốn được ở bên anh."
786,前世,qiánshì,Danh từ,TIỀN THẾ,"kiếp trước, đời trước",past life,前世,TRUE,今生戴花，来生漂亮。,Việc đeo hoa trong đời này sẽ giúp bạn xinh đẹp hơn ở kiếp sau.
787,今生今世,jīnshēngjīnshì,Cụm từ,KIM SINH KIM THẾ,đời này kiếp này,This life,今生今世,TRUE,我愿意陪你今生今世。,Anh nguyện đời này kiếp này ở bên em.
788,亚洲,yàzhōu,Danh từ,Á CHÂU,châu Á,Asia,亚洲,TRUE,亚洲一共有48个国家和地区。,Châu Á có tổng cộng 48 quốc gia và vùng lãnh thổ.
789,地区,dìqū,Danh từ,ĐỊA KHU,"khu vực, vùng, miền",area,地区,TRUE,东北地区冬天寒冷。,Mùa đông ở vùng Đông Bắc rất lạnh.
790,民族,mínzú,Danh từ,DÂN TỘC,"dân tộc, tộc người",nationality,民族,TRUE,中国有56个民族，越南有54个民族。,"Trung Quốc có 56 dân tộc, trong khi Việt Nam có 54 dân tộc."
791,少数,shǎoshù,Danh từ,THIỂU SỐ,"thiểu số, ít",few,少数,TRUE,我对少数民族的文化很感兴趣。,Tôi rất có hứng thú với văn hóa của các dân tộc thiểu số.
792,推,tuī,Động từ,THÔI,"đẩy, đùn; hoàn lại, trì hoãn",push,推,TRUE,孩子们用力推门，走了进来。他把工作都推给了别人，自己什么也不做。我们把会议推后两天吧。,Bọn trẻ đẩy cửa bước vào. Ông ta đẩy hết việc cho người khác và chẳng làm gì cả. Chúng ta hãy hoãn cuộc họp lại hai ngày.
793,稍微,shāowēi,Phó từ,SẢO VI,"hơi, một chút, hơi hơi + V (thường có 有点儿)",a little,稍微,TRUE,请您稍微等一会儿。,Vui lòng chờ một chút.
794,粗心,cūxīn,Tính từ,THÔ TÂM,"sơ suất, cẩu thả, khinh suất",careless,粗心,TRUE,考试的时候不能粗心，得认真重新检查。,Bạn không được phép lơ là trong kỳ thi; bạn phải kiểm tra lại mọi thứ thật kỹ lưỡng.
795,随便,suíbiàn,"Tính từ, Động từ ly hợp, Liên từ",TÙY TIỆN,"(adj): qua loa, tùy tiện; thoải mái, tự nhiên / (v): tùy ý / (conj): Bất kể",casual,随便,TRUE,这件事不能随便决定，需要仔细考虑。大家随便坐吧，别客气。来不来，随你的便。随便你怎么办，我都不关心。,"Việc này không thể tùy tiện quyết định, cần phải xem xét kỹ lưỡng. Mọi người cứ ngồi thoải mái, đừng khách sáo. Đến hay không, tùy bạn. Bất kể bạn làm thế nào, tôi đều không quan tâm."
796,底,dǐ,Danh từ,ĐỂ,"đáy, đế, gầm; cuối (tháng, năm)",end,底,TRUE,你看，小狗在床底下躺着呢。,"Nhìn kìa, chú cún con đang nằm dưới gầm giường."
797,海底捞,hǎidǐ lāo,Danh từ,HẢI ĐỂ LIỆU,"Haidilao, lẩu Haidilao",Haidilao,海底捞,TRUE,我很久没吃火锅，今晚你有时间吗？跟我一起去饭店吃海底捞吧。,Lâu lắm rồi mình chưa ăn lẩu. Tối nay bạn rảnh không? Mình cùng đi nhà hàng Haidilao nhé.
798,火锅,huǒguō,Danh từ,HỎA OA,"lẩu, món lẩu, nồi lẩu",hot pot,火锅,TRUE,我很久没吃火锅，今晚你有时间吗？跟我一起去饭店吃海底捞吧。,Lâu lắm rồi mình chưa ăn lẩu. Tối nay bạn rảnh không? Mình cùng đi nhà hàng Haidilao nhé.
799,烤鸭,kǎoyā,Danh từ,KHẢO ÁP,vịt quay (món ăn),Roast Duck,烤鸭,TRUE,每个月底我们都去吃烤鸭。,Chúng tôi thường đi ăn vịt quay Bắc Kinh vào cuối mỗi tháng.
800,笑话,xiàohuà,"Danh từ, Động từ",TIẾU THOẠI,"chuyện cười, chuyện hài, chuyện tiếu lâm; cười nhạo, chế nhạo",joke,笑话,TRUE,他总是喜欢拿别人的缺点和错误当笑话。,Anh ta luôn thích chế giễu những thiếu sót và sai lầm của người khác.
801,日期,rìqī,Danh từ,NHẬT KỲ,"ngày, thời kỳ, ngày tháng",date,日期,TRUE,开会日期往后推几天。,Ngày họp sẽ được hoãn lại vài ngày.
802,一支笔,yīzhī bǐ,Danh từ,NHẤT CHI BÚT,một cây bút,A pen,一支笔,TRUE,你去商店，顺便帮我买一支笔吧。,"Bạn đến cửa tiệm, nhân tiện mua giúp tôi một cây bút nhé."
803,中心,zhōngxīn,Danh từ,TRUNG TÂM,trung tâm,center,中心,TRUE,很多年轻人喜欢住在城市中心，因为那里提供许多好服务，非常方便。,Nhiều người trẻ thích sống ở trung tâm thành phố vì nơi đây có nhiều dịch vụ tốt và rất thuận tiện.
804,香味,xiāngwèi,Danh từ,HƯƠNG VỊ,"hương vị, hương thơm, mùi vị",fragrance,香味,TRUE,这种水果的香味很甜，特别好吃。,Loại quả này có mùi thơm rất ngọt và vị đặc biệt ngon.
805,这道菜,zhè dàocài,Danh từ,GIÁ ĐẠO THÁI,món ăn này,This dish,这道菜,TRUE,这道菜的香味很特别。,Món ăn này có hương thơm rất đặc biệt.
806,牙膏,yágāo,Danh từ,NHA CAO,kem đánh răng,toothpaste,牙膏,TRUE,这种牙膏的效果很不错，我的牙越刷越白起来了。,"Hiệu quả của loại kem đánh răng này rất tốt, răng tôi càng đánh càng trắng dần lên rồi."
807,数量,shùliàng,Danh từ,SỐ LƯỢNG,số lượng,quantity,数量,TRUE,数量对我们来说并不重要，重要的事质量。,"Với chúng tôi, số lượng không quan trọng; chất lượng mới là điều cần thiết."
808,入口,rùkǒu,"Danh từ, Động từ",NHẬP KHẨU,"(n): cửa vào, lối vào, cổng vào; (v): nhập khẩu, nhập cảng",Entrance,入口,TRUE,我们在商场入口等你。,Chúng tôi sẽ đợi bạn ở lối vào trung tâm thương mại.
809,出口,chūkǒu,"Danh từ, Động từ",XUẤT KHẨU,"(n): cửa ra, lối ra; (v): nói ra; xuất khẩu, xuất cảng",exit,出口,TRUE,地铁站的出口在哪呢？,Lối ra của ga tàu điện ngầm ở đâu?
810,有限,yǒuxiàn,Tính từ,HỮU HẠN,"hữu hạn, có hạn",limited,有限,TRUE,我们的时间是有限的，我们的生活也是有限的，所以我们不要浪费时间做没意义的事。,"Thời gian và cuộc sống của chúng ta đều có hạn, vì vậy chúng ta không nên lãng phí thời gian vào những việc vô nghĩa."
811,无限,wúxiàn,Tính từ,VÔ HẠN,"vô hạn, vô cùng, vô tận",unlimited,无限,TRUE,人们一生的经历是无限的。,Những trải nghiệm trong cuộc sống của con người là vô tận.
812,出色,chūsè,Tính từ,XUẤT SẮC,xuất sắc,outstanding,出色,TRUE,这款家具的质量非常出色。,Chất lượng của đồ nội thất này rất xuất sắc.
813,游客,yóukè,Danh từ,DU KHÁCH,"du khách, khách du lịch",tourists,游客,TRUE,这里今年的游客数量增加了。,Số lượng khách du lịch đến đây năm nay đã tăng lên.
814,旅客,lǚkè,Danh từ,LỮ KHÁCH,"lữ khách, hành khách, du khách",Passengers,旅客,TRUE,很多旅客来这旅游。,Rất nhiều du khách đến đây.
815,关注,guānzhù,"Danh từ, Động từ",QUAN CHÚ,"quan tâm, chú ý, theo dõi",focus on,关注,TRUE,这件事受到大家的关注。,Sự việc này nhận được sự quan tâm chú ý của mọi người.
816,收,shōu,Động từ,THU,"thu, nhận, lấy",receive,收,TRUE,快下雨了，我们赶紧去收衣服吧。,"Trời sắp mưa rồi, chúng ta nhanh chóng đi thu đồ thôi."
817,春季,chūnjì,Danh từ,XUÂN QUÝ,mùa xuân,spring,春季,TRUE,这里的风景非常美丽，尤其春季。,"Cảnh vật ở đây rất đẹp, đặc biệt là vào mùa xuân."
818,起火,qǐhuǒ,Động từ,KHỞI HỎA,"nấu cơm; xảy ra hỏa hoạn, phát cháy, cháy; nổi nóng, nổi giận",fire,起火,TRUE,北京春季天气特别干，容易起火。所以外出游玩二，尤其是在公园，森林等数比较多的地方要特别小心。,"Thời tiết ở Bắc Kinh vào mùa xuân khô hanh, dễ xảy ra cháy nổ. Vì vậy, khi ra ngoài chơi, nhất là ở những nơi có nhiều cây xanh như công viên, rừng rậm, phải cực kỳ cẩn thận."
819,观众,guānzhòng,Danh từ,QUAN CHÚNG,"khán giả, quần chúng, công chúng",audience,观众,TRUE,一些电影院不允许观众带任何食品或者饮料，人们只好买电影院卖的东西。,"Một số rạp phim không cho phép khán giả đem theo bất cứ đồ ăn hay thức uống nào, mọi người chỉ đành phải mua đồ mà rạp phim bán."
820,做法,zuòfǎ,Danh từ,TỐ PHÁP,cách làm,practice,做法,TRUE,很多观众批评这个做法，因为电影院的东西特别贵，有的甚至比超市贵三倍。,"Rất nhiều khán giả chỉ trích cách làm này, bởi vì đồ của rạp phim rất đắt, có khi thậm chí đắt gấp bốn lần so với siêu thị."
821,酸甜苦辣,suāntiánkǔlà,Thành ngữ,TOAN ĐIỀM KHỔ LẠT,"đắng cay ngọt bùi, chua ngọt đắng cay",ups and downs,酸甜苦辣,TRUE,很多人觉得爱情要有酸甜苦辣咸才算是深厚的。,Nhiều người nghĩ rằng tình yêu phải có cay đắng ngọt bùi mới được coi là sâu sắc.
822,深厚,shēnhòu,Tính từ,THÂM HẬU,"dày; nồng thắm, sâu sắc, sâu đậm, sâu nặng (tình cảm); vững chắc, vững vàng",deep,深厚,TRUE,很多人觉得爱情要有酸甜苦辣咸才算是深厚的。,Nhiều người nghĩ rằng tình yêu phải có cay đắng ngọt bùi mới được coi là sâu sắc.
823,体重,tǐzhòng,Danh từ,THỂ TRỌNG,"thể trọng, cân nặng",weight,体重,TRUE,他的体重是我的两倍。,Anh ấy nặng gấp đôi tôi.
824,重量,zhòngliàng,Danh từ,TRỌNG LƯỢNG,trọng lượng,weight,重量,TRUE,这个箱子的重量比那个箱子重一倍。,Trọng lượng của chiếc hộp này nặng gấp đôi chiếc hộp kia.
825,语言,yǔyán,Danh từ,NGỮ NGÔN,ngôn ngữ,language,语言,TRUE,学习一种新语言需要时间、坚持和努力，一两天内不能看见结果。,"Học một ngôn ngữ mới cần thời gian, sự kiên trì và nỗ lực; kết quả không thể thấy chỉ trong một hoặc hai ngày."
826,节假日,jiéjiàrì,Danh từ,TIẾT GIÁ NHẬT,"ngày lễ, ngày nghỉ",Holidays,节假日,TRUE,周末商场里的人特别多，尤其是节假日，每家商店门口都排着很长的队。,"Trung tâm thương mại rất đông đúc vào cuối tuần, đặc biệt là các ngày lễ, với những hàng dài người xếp hàng trước mỗi cửa hàng."
827,款式,kuǎnshi,Danh từ,KHOẢN THỨC,"kiểu dáng, mẫu mã; kiểu mẫu, kiểu = 样子",shape,款式,TRUE,我们的沙发款式很多，质量非常好，尤其是这一款，样子漂亮，作者也很舒服。,"Chúng tôi có nhiều kiểu ghế sofa, và chất lượng thì tuyệt vời. Chiếc sofa này đặc biệt đẹp và rất thoải mái đối với người sử dụng."
828,不错,bùcuò,Tính từ,BẤT THÁC,"đúng vậy, phải; không tồi, tốt",good,不错,TRUE,这件衣服看起来很不错，值得看看啊。,Bộ trang phục này trông rất đẹp; đáng để xem qua.
829,没错,méicuò,Động từ,MỘT THÁC,"đúng, chính xác, đúng vậy, chuẩn luôn",That's right,没错,TRUE,没错，我是越南人。,"Vâng, tôi là người Việt Nam."
830,绿色食品,lǜsèshípǐn,Danh từ,LỤC SẮC THỰC PHẨM,thực phẩm xanh,Green food,绿色食品,TRUE,绿色食品很安全因为它们被检查得很仔细，所以价格有点儿贵。,"Các loại thực phẩm xanh an toàn vì chúng được kiểm tra kỹ lưỡng, do đó giá thành của chúng hơi cao hơn."
831,无论如何,wúlùnrúhé,Cụm từ,VÔ LUẬN NHƯ HÀ,"bất luận thế nào, bất kể ra sao",anyway,无论如何,TRUE,无论如何，我要完成这个任务。,Tôi sẽ hoàn thành nhiệm vụ này bằng mọi giá.
832,成语,chéngyǔ,Danh từ,THÀNH NGỮ,thành ngữ (lượng từ: 段、句、个),idiom,成语,TRUE,不同的成语表示不同的意思。,Các thành ngữ khác nhau có nghĩa khác nhau.
833,大开眼界,dàkāiyǎnjiè,Thành ngữ,ĐẠI KHAI NHÃN GIỚI,mở rộng tầm mắt,Eye-opening,大开眼界,TRUE,我很喜欢学习中文，尤其是成语，让我大开眼界。我学会了很多关于中国文化的知识。,"Tôi rất thích học tiếng Trung, nhất là thành ngữ.  Nó giúp tôi mở mang tầm mắt. Tôi đã học được rất nhiều kiến thức liên quan đến văn hóa Trung Quốc."
834,毛衣,máoyī,Danh từ,MAO Y,áo len (lượng từ: 件),sweater,毛衣,TRUE,这件毛衣很厚，冬天穿着肯定很暖和。,Chiếc áo len này rất dày; chắc chắn sẽ rất ấm áp khi mặc vào mùa đông.
835,一……就,yī   jiù,Cấu trúc câu,NHẤT TỰU,vừa...thì/đã; hễ/cứ...thì/là...,One...then,一……就,TRUE,今天的语法点不太难，老师一说学生们就明白了。,Các điểm ngữ pháp hôm nay không quá khó; học sinh hiểu ngay khi giáo viên giải thích.
836,究竟,jiūjìng,"Phó từ, Danh từ",CỨU CÁNH,"rốt cuộc; cuối cùng, đến cùng, kết cục, phần cuối",after all,究竟,TRUE,都十点了，你究竟来不来？,"Đã 10 giờ rồi, rốt cuộc là bạn có đến không?"
837,拿……来说,ná   láishuō,Cấu trúc câu,NÃ LAI THUYẾT,"đơn cử như, lấy ví dụ như, ví dụ như, lấy...làm ví dụ",Take... as an example,拿……来说,TRUE,我还是更喜欢住在大城市。拿看病来说，大城市的好医院和好医生比小城市多得多，也方便得多。,"Tôi vẫn thích sống ở thành phố lớn hơn. Ví dụ như vấn đề chăm sóc y tế; ở các thành phố lớn có nhiều bệnh viện và bác sĩ giỏi hơn nhiều so với các thành phố nhỏ, và việc đi lại cũng thuận tiện hơn nhiều."
838,赶快,gǎnkuài,Phó từ,CẢN KHOÁI,"mau, ngay, mau mau, mau chóng, nhanh chóng (cả văn nói và văn viết)",hurry up,赶快,TRUE,究竟谁做这件事，赶快承认吧。,"Rốt cuộc là ai làm chuyện này, hãy mau chóng thừa nhận đi."
839,赶紧,gǎnjǐn,Phó từ,CẢN KHẨN,"khẩn trương, mau mau, mau chóng, nhanh chóng (văn nói)",Hurry,赶紧,TRUE,我们赶紧出门吧。,Chúng ta mau chóng ra ngoài thôi.
840,可,kě,Phó từ,KHẢ,nhấn mạnh ngữ khí người nói hoặc biểu thị mức độ cao,Can,可,TRUE,丽江有山有水，风景可美啊！,"Lệ Giang có núi có sông, phong cảnh đẹp tuyệt vời!"
841,香气,xiāngqì,Danh từ,HƯƠNG KHÍ,"hương thơm, mùi thơm",aroma,香气,TRUE,这种酒的香气很特别。,Loại rượu này có hương thơm rất độc đáo.
842,剩下,shèngxià,Động từ,THẶNG HẠ,"thừa lại, còn lại, chừa lại",remain,剩下,TRUE,他剩下的钱不够花。,Tiền còn lại của anh ấy không đủ để tiêu.
843,日常,rìcháng,Tính từ,NHẬT THƯỜNG,"thường ngày, hàng ngày",daily,日常,TRUE,我的中文进步了，就拿听力来说，我已经能听懂人们日常交流说的话。,"Trình độ tiếng Trung của tôi đã được cải thiện. Ví dụ, khả năng nghe hiểu của tôi hiện đã đủ tốt để hiểu những gì mọi người nói trong các cuộc hội thoại hàng ngày."
844,百闻不如一见,bǎiwénbùrúyījiàn,Thành ngữ,BÁCH VĂN BẤT NHƯ NHẤT KIẾN,trăm nghe không bằng một thấy,Seeing is believing,百闻不如一见,TRUE,我听说那本小说很难懂，但百闻不如一见，读了之后我才发现它其实很有趣。,"Tôi nghe nói quyển tiểu thuyết này rất khó hiểu, nhưng mà trăm nghe không bằng một thấy, sau khi đọc tôi mới phát hiện thật ra nó rất thú vị."
845,承认,chéngrèn,Động từ,THỪA NHẬN,"thừa nhận, thú nhận, chấp nhận (sai lầm, sự thật, sự việc...)",admit,承认,TRUE,究竟谁干的，快点儿承认吧。,"Rốt cuộc là ai làm, mau thừa nhận đi."
